iter	Passed	Remaining
438	1374	1756
439	1377	1753
440	1380	1749
441	1383	1746
442	1387	1744
443	1390	1741
444	1394	1739
445	1397	1736
446	1400	1732
447	1404	1730
448	1405	1724
449	1407	1719
450	1409	1715
451	1412	1712
452	1415	1709
453	1419	1707
454	1421	1703
455	1423	1698
456	1426	1695
457	1429	1691
458	1435	1692
459	1438	1689
460	1441	1685
461	1445	1683
462	1450	1681
463	1453	1678
464	1458	1677
465	1461	1674
466	1464	1671
467	1467	1668
468	1470	1664
469	1472	1659
470	1476	1658
471	1479	1655
472	1483	1653
473	1488	1652
474	1493	1650
475	1497	1648
476	1500	1644
477	1503	1642
478	1504	1636
479	1506	1631
480	1509	1629
481	1514	1627
482	1517	1624
483	1521	1621
484	1524	1618
485	1528	1616
486	1532	1614
487	1536	1612
488	1539	1608
489	1543	1606
490	1546	1603
491	1550	1600
492	1554	1598
493	1558	1596
494	1562	1594
495	1566	1591
496	1571	1590
497	1579	1591
498	1583	1589
499	1587	1587
500	1595	1589
501	1601	1588
502	1612	1593
503	1618	1592
504	1620	1588
505	1625	1587
506	1630	1585
507	1633	1582
508	1638	1580
509	1644	1579
510	1649	1578
511	1652	1575
512	1657	1573
513	1661	1570
514	1666	1569
515	1671	1567
516	1676	1566
517	1681	1564
518	1688	1564
519	1691	1561
520	1694	1558
521	1699	1555
522	1707	1557
523	1710	1553
524	1712	1549
525	1717	1547
526	1720	1544
527	1723	1541
528	1727	1538
529	1729	1533
530	1735	1533
531	1740	1531
532	1745	1528
533	1748	1526
534	1753	1523
535	1757	1521
536	1761	1518
537	1764	1515
538	1770	1514
539	1774	1511
540	1777	1507
541	1780	1504
542	1789	1505
543	1792	1502
544	1796	1500
545	1803	1499
546	1807	1497
547	1812	1495
548	1819	1494
549	1823	1492
550	1827	1489
551	1831	1486
552	1835	1484
553	1840	1481
554	1844	1479
555	1848	1476
556	1854	1474
557	1861	1474
558	1863	1470
559	1867	1466
560	1869	1463
561	1877	1463
562	1881	1460
563	1885	1457
564	1890	1455
565	1895	1453
566	1899	1450
567	1901	1446
568	1912	1448
569	1916	1445
570	1919	1442
571	1929	1443
572	1934	1441
573	1939	1439
574	1943	1436
575	1945	1432
576	1957	1435
577	1961	1432
578	1965	1429
579	1971	1427
580	1975	1424
581	1979	1421
582	1982	1418
583	1988	1416
584	1992	1413
585	1995	1409
586	1998	1406
587	2003	1403
588	2007	1400
589	2011	1397
590	2018	1396
591	2023	1394
592	2025	1390
593	2029	1386
594	2030	1382
595	2040	1382
596	2043	1379
597	2048	1376
598	2053	1374
599	2057	1371
600	2060	1367
601	2062	1363
602	2070	1363
603	2075	1360
604	2078	1356
605	2083	1354
606	2087	1351
607	2090	1347
608	2094	1344
609	2105	1346
610	2109	1343
611	2112	1339
612	2118	1337
613	2121	1333
614	2123	1329
615	2129	1327
616	2133	1324
617	2137	1320
618	2139	1317
619	2145	1314
620	2149	1311
621	2152	1308
622	2156	1304
623	2161	1302
624	2164	1298
625	2168	1295
626	2182	1298
